Gene_name NCBI_gene_ID Gene_type
LTA 4049 protein_coding
PPP1R18 170954 protein_coding
PPP1R18 107987457 protein_coding
KANSL1 284058 protein_coding
MDC1 9656 protein_coding
PHLDA2 7262 protein_coding
ZNF280A 129025 protein_coding
 OR4M2B protein_coding
CARS1 833 protein_coding
LY6G6F-LY6G6D 110599563 protein_coding
POTEB3 102724631 protein_coding
B3GALT4 8705 protein_coding
PRAME 23532 protein_coding
SNHG32 50854 protein_coding
CDC42EP5 148170 protein_coding
APOL5 80831 protein_coding
RBFOX2 23543 protein_coding
PPT2 9374 protein_coding
LRRC37A 9884 protein_coding
HLA-A 3105 protein_coding
ARL17B 51326 protein_coding
ARL17B 100506084 protein_coding
ARL17B 100996709 protein_coding
HLA-DMB 3109 protein_coding
LRRC37A3 374819 protein_coding
MSH5 4439 protein_coding
LILRA1 11024 protein_coding
UBD 10537 protein_coding
PFDN6 10471 protein_coding
APBA1 320 protein_coding
 107984156 protein_coding
HLA-DMA 3108 protein_coding
VARS1 7407 protein_coding
CCL4L2 9560 protein_coding
CDK7 1022 protein_coding
PPP2R3B 28227 protein_coding
YWHAE 7531 protein_coding
TBC1D3I 102724862 protein_coding
BAG6 7917 protein_coding
ARMC10 83787 protein_coding
CUTA 51596 protein_coding
RXRB 6257 protein_coding
RNF5 6048 protein_coding
CCL3L3 6349 protein_coding
CCL3L3 414062 protein_coding
NAPEPLD 222236 protein_coding
STH 246744 protein_coding
EHMT2 10919 protein_coding
TAF4 6874 protein_coding
LINC02210-CRHR1 1394 protein_coding
LINC02210-CRHR1 104909134 protein_coding
 102723407 protein_coding
RING1 6015 protein_coding
CCL18 6362 protein_coding
HLA-E 3133 protein_coding
KCNQ1 3784 protein_coding
TC2N 123036 protein_coding
CDH4 1002 protein_coding
CCL4L2 388372 protein_coding
NAP1L4 4676 protein_coding
TUBB 203068 protein_coding
CLIC1 1192 protein_coding
TRIM31 11074 protein_coding
MUC2 4583 protein_coding
LY6G6C 80740 protein_coding
TBC1D3B 414059 protein_coding
CATSPERB 79820 protein_coding
NPIPA5 100288332 protein_coding
CCL3 6348 protein_coding
NOMO1 23420 protein_coding
TSBP1 10665 protein_coding
BAAT 570 protein_coding
MAPK15 225689 protein_coding
CEP170 9859 protein_coding
CEP170 645455 protein_coding
PLPPR1 54886 protein_coding
CCL4 6351 protein_coding
FAM83H 286077 protein_coding
TRIM40 135644 protein_coding
GFUS 7264 protein_coding
ZNF251 90987 protein_coding
GTF2H4 2968 protein_coding
PSMB8 5696 protein_coding
CLN8 2055 protein_coding
BRD2 6046 protein_coding
CDKN1C 1028 protein_coding
PRB3 5544 protein_coding
CCL23 6368 protein_coding
 102723655 protein_coding
SLC22A18 5002 protein_coding
TAS2R42 353164 protein_coding
GPI 2821 protein_coding
PUF60 22827 protein_coding
AKT3 10000 protein_coding
TBC1D3G 101060321 protein_coding
 102723713 protein_coding
RRN3 54700 protein_coding
GTF2H2C_2 730394 protein_coding
PTPRK 5796 protein_coding
PRB4 5545 protein_coding
PRH1 5554 protein_coding
CCL16 6360 protein_coding
DDX52 11056 protein_coding
SDCCAG8 10806 protein_coding
LY6L 101928108 protein_coding
LY6H 4062 protein_coding
HLA-F 3134 protein_coding
GLIS2 84662 protein_coding
VASN 114990 protein_coding
CORO7-PAM16 100529144 protein_coding
IER3 8870 protein_coding
FKBPL 63943 protein_coding
RPS18 6222 protein_coding
MARCHF8 220972 protein_coding
PARN 5073 protein_coding
TBC1D3K 101060351 protein_coding
TBC1D3K 102723859 protein_coding
LY6E 4061 protein_coding
AIF1 199 protein_coding
OR13A1 79290 protein_coding
ALOX5 240 protein_coding
ERMARD 55780 protein_coding
NMRAL1 57407 protein_coding
TRIM26 7726 protein_coding
HLA-DPB1 3115 protein_coding
LYZL6 57151 protein_coding
MARVELD2 153562 protein_coding
HLA-DOA 3111 protein_coding
MRPL45 84311 protein_coding
GRK1 6011 protein_coding
TMEM255B 348013 protein_coding
HMOX2 3163 protein_coding
HLA-DRB1 3123 protein_coding
TBC1D3L 729873 protein_coding
TBC1D3L 101060376 protein_coding
AGER 177 protein_coding
ACACA 31 protein_coding
NAPRT 93100 protein_coding
PLA2G10 8399 protein_coding
CFB 629 protein_coding
DYNLT2 6991 protein_coding
ABCF1 23 protein_coding
CCDC166 100130274 protein_coding
ZNF707 286075 protein_coding
ZNF707 101928160 protein_coding
OCLN 100506658 protein_coding
ADAM2 2515 protein_coding
CEP20 123811 protein_coding
FRG2 448831 protein_coding
FRG1 2483 protein_coding
CCDC125 202243 protein_coding
NFKBIL1 4795 protein_coding
GAL3ST2 64090 protein_coding
NEU4 129807 protein_coding
PDXDC1 23042 protein_coding
PAM16 51025 protein_coding
AK6 102157402 protein_coding
CSNK2B 1460 protein_coding
DNAJA3 9093 protein_coding
MPIG6B 80739 protein_coding
TIGD5 84948 protein_coding
ZNF623 9831 protein_coding
MROH6 642475 protein_coding
RTP5 285093 protein_coding
PDCD1 5133 protein_coding
SCRIB 23513 protein_coding
ADAM9 8754 protein_coding
MRPS36 92259 protein_coding
CDIP1 29965 protein_coding
ADAM32 203102 protein_coding
SLC39A7 7922 protein_coding
THEMIS 387357 protein_coding
PRR3 80742 protein_coding
SLC44A4 80736 protein_coding
CORO7 79585 protein_coding
PBX2 5089 protein_coding
ADAM18 8749 protein_coding
COL11A2 1302 protein_coding
